z,volumeWeightedAvg
1.468953999999999920e-02,9.878126853553081954e-01
1.475899500000000045e-02,9.877646390119779740e-01
1.482844999999999996e-02,9.877165969041028504e-01
1.489790499999999948e-02,9.876685720069732222e-01
1.496735499999999990e-02,9.876205574957802602e-01
1.503680999999999941e-02,9.875725465801976632e-01
1.510626500000000066e-02,9.875245522293295553e-01
1.517572000000000018e-02,9.874765612829881078e-01
1.524517499999999970e-02,9.874285867169478870e-01
1.531462500000000011e-02,9.873806217766072368e-01
1.538407999999999963e-02,9.873326597059478571e-01
1.545353499999999915e-02,9.872847134053613916e-01
1.552299000000000040e-02,9.872367697410557863e-01
1.559244499999999992e-02,9.871888416427643254e-01
1.566189499999999860e-02,9.871409224029189522e-01
1.573135000000000158e-02,9.870930053212724209e-01
1.580080500000000110e-02,9.870451033221019355e-01
1.587026000000000062e-02,9.869972033351585017e-01
1.593971500000000013e-02,9.869493182287915056e-01
1.600916499999999881e-02,9.869014412887640031e-01
1.607861999999999833e-02,9.868535657938910521e-01
1.614807500000000132e-02,9.868057046810941868e-01
1.621753000000000083e-02,9.867578449329778012e-01
1.628698500000000035e-02,9.867099993735310992e-01
1.635643999999999987e-02,9.866621549148850701e-01
1.642589499999999939e-02,9.866143244790155364e-01
1.649534500000000153e-02,9.865665013479889556e-01
1.656480000000000105e-02,9.865186788293301978e-01
1.663425500000000057e-02,9.864708698695832112e-01
1.670371000000000009e-02,9.864230614648645812e-01
1.677316499999999960e-02,9.863752665257740082e-01
1.684261499999999828e-02,9.863274784011026863e-01
1.691207000000000127e-02,9.862796903753503486e-01
1.698152500000000079e-02,9.862319153529041094e-01
1.705098000000000030e-02,9.861841403317019861e-01
1.712043499999999982e-02,9.861363782141859824e-01
1.718988499999999850e-02,9.860886224292576552e-01
1.725934000000000149e-02,9.860408662759618803e-01
1.732879500000000100e-02,9.859931226941635041e-01
1.739825000000000052e-02,9.859453786841733125e-01
1.746770500000000004e-02,9.858976470889849741e-01
1.753715499999999872e-02,9.858499213237101877e-01
1.760661000000000170e-02,9.858021946674726532e-01
