#CO2_x, CO2_y, S_x, S_y
3.08297579405739,0.006236735001507343,2.0794184346735634,0.9711402674830809
12.289078509221326,0.00651635514018678,9.467853483606568,0.9168375106202209
21.495181224385263,0.00651635514018678,16.14970222848362,0.8630122917513207
30.7012839395492,0.00651635514018678,22.980036501024614,0.8092316131653798
39.907386654713136,0.007243367500753273,29.95885630122953,0.7554509345794393
49.11348936987707,0.008249999999999869,37.086161629098385,0.702177472741433
58.31959208504101,0.008249999999999869,44.361952484631175,0.6490398130841122
67.52569480020495,0.008809240277358965,51.934714395491824,0.595288820992092
76.73179751536888,0.009983644859812957,59.80444736168036,0.5411531671858775
85.93790023053282,0.010263264998492394,67.97115138319676,0.48713843457943906
95.14400294569677,0.011717289719626045,76.58331198770495,0.43273294392523365
104.35010566086069,0.012751884232740318,85.49244364754102,0.37841207165109025
113.55620837602464,0.014122022912269827,94.55006083504102,0.3270449201085317
122.76231109118856,0.015939553813686835,103.75616355020495,0.27735642146517936
131.96841380635252,0.018148552909255322,112.9622662653689,0.23110725052758507
141.17451652151644,0.02136418450406996,122.16836898053282,0.18832536930961685
150.3806192366804,0.02555848658426263,131.37447169569677,0.1493183599638226
159.5867219518443,0.033824096991341035,140.58057441086072,0.11417010853180576
177.99892738217218,0.05919393067991163,149.78667712602464,0.08341189327705745
186.31411693135252,0.09670056074766331,177.40498527151647,0.02009633297563651
192.2535380379099,0.15254704049844225,186.6110879866804,0.007467063611696689
195.03233862704926,0.2069380841121493,195.81719070184434,0.0018466988242384907
196.73285145577194,0.2631680295950155,205.02329341700826,-0.00019452818812237815
197.76100124580856,0.31912404418011886,214.22939613217218,-0.0004182242990655727
198.7640573277901,0.3793166786484543,223.43549884733616,-0.0004182242990655727
199.63212656644077,0.44792900790797985,232.64160156250009,-0.0004182242990655727
200.10977231976537,0.513607476635514,241.847704277664,-0.0004182242990655727
200.75963755122956,0.5824579439252336,248.678038550205,0.0006219626168222359
200.8656986424181,0.6354827102803738,168.80122950819674,0.03401869158878501
202.2119674265711,0.791857476635514,158.29918032786884,0.059439252336448645
202.54853462260934,0.8625516614745588,,
203.53843814036892,0.924481308411215,,
216.902135630123,0.9998948598130842,,
226.10823834528694,0.9998948598130842,,
235.31434106045091,0.9998948598130842,,
244.52044377561484,1.001796276756105,,
201.84426229508196,0.7128971962616824,,
167.77663934426232,0.040000000000000036,,
205.68647540983608,0.9955140186915888,,
250.00000000000003,1.0014953271028038,,
